citing_cluster_id,citing_url,citing_court_name,cited_cluster_id,cited_url,cited_court_name,cited_case_name_short,cited_case_name,cited_citations,expert,expert_label,expert_notes
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1103550,https://www.courtlistener.com/opinion/1103550/people-of-living-god-v-chantilly-corporation/,Supreme Court of Louisiana,,People of Living God v. Chantilly Corporation,"['1968 La. LEXIS 2882', '251 La. 943', '207 So. 2d 752']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1110783,https://www.courtlistener.com/opinion/1110783/peters-v-general-motors-corp/,Louisiana Court of Appeal,Peters,Peters v. General Motors Corp.,"['2005 WL 156792', '2005 La. App. LEXIS 38', '892 So. 2d 717']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1114636,https://www.courtlistener.com/opinion/1114636/attaway-v-city-of-natchitoches/,Louisiana Court of Appeal,Attaway,Attaway v. City of Natchitoches,"['1995 WL 36260', '1995 La. App. LEXIS 137', '94 La.App. 3 Cir. 813', '651 So. 2d 306']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1116739,https://www.courtlistener.com/opinion/1116739/franklin-v-pizza-hut-inc/,Louisiana Court of Appeal,Franklin,"Franklin v. Pizza Hut, Inc.","['1990 WL 210478', '1990 La. App. LEXIS 3036', '572 So. 2d 685']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1597408,https://www.courtlistener.com/opinion/1597408/margin-v-barthelemy/,Louisiana Court of Appeal,Margin,Margin v. Barthelemy,"['1994 WL 187850', '638 So. 2d 291']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1605680,https://www.courtlistener.com/opinion/1605680/frye-v-olan-mills/,Louisiana Court of Appeal,Frye,Frye v. Olan Mills,"['2009 WL 929527', '2009 La. App. LEXIS 487', '7 So. 3d 201']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1614314,https://www.courtlistener.com/opinion/1614314/marks-v-84-lumber-co/,Louisiana Court of Appeal,Marks,Marks v. 84 Lumber Co.,"['2006 WL 2773845', '2006 La. App. LEXIS 2156', '6 La.App. 3 Cir. 358', '939 So. 2d 723']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1643132,https://www.courtlistener.com/opinion/1643132/olivier-v-after-crash-inc/,Louisiana Court of Appeal,Olivier,"Olivier v. After Crash, Inc.","['2005 WL 1027534', '901 So. 2d 1214']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1667098,https://www.courtlistener.com/opinion/1667098/smith-v-4938-prytania-inc/,Louisiana Court of Appeal,,"Smith v. 4938 Prytania, Inc.","['2005 WL 249361', '895 So. 2d 65']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1694516,https://www.courtlistener.com/opinion/1694516/mason-v-auto-convoy/,Louisiana Court of Appeal,,Mason v. Auto Convoy,"['1995 WL 637968', '662 So. 2d 843']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1694985,https://www.courtlistener.com/opinion/1694985/kaufman-v-adrians-tree-service-inc/,Louisiana Court of Appeal,Kaufman,"Kaufman v. Adrian's Tree Service, Inc.","['2001 WL 1357252', '2001 La. App. LEXIS 2627', '0 La.App. 4 Cir. 2381', '800 So. 2d 1102']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1696406,https://www.courtlistener.com/opinion/1696406/dumas-v-hartford-ins-co/,Louisiana Court of Appeal,Dumas,Dumas v. Hartford Ins. Co.,"['1991 WL 101044', '1991 La. App. LEXIS 1797', '583 So. 2d 31']",,,
10612441,https://www.courtlistener.com/opinion/10612441/floyd-safford-v-new-orleans-fire-department/,Louisiana Court of Appeal,1723377,https://www.courtlistener.com/opinion/1723377/green-v-louisiana-coca-cola-bottling-co-ltd/,Louisiana Court of Appeal,Green,"Green v. Louisiana Coca Cola Bottling Co., Ltd.","['1985 La. App. LEXIS 9875', '477 So. 2d 904']",,,
