,lower_court,count,first_case_num,cl_court_id,cl_court_name
658,United States District Court for the Southern District of Florida,3,1:08-cv-23250,flsd,United States District Court for the Southern District of Florida
122,"Circuit Court of West Virginia, Harrison County",3,03-C-66-2,,
247,"Court of Appeals of Ohio, Marion County",3,9-04-36,,
120,"Circuit Court of West Virginia, Fayette County",3,02F98,,
401,"Superior Court of Arizona, Pinal County",3,S1100CR11043,,
220,"Court of Appeals of Ohio, Coshocton County",3,07-CA-16,,
254,"Court of Appeals of Ohio, Pickaway County",3,05CA25,,
74,"Circuit Court of Michigan, Berrien County",3,2003 402881 FC,,
311,"Court of Common Pleas of South Carolina, Abbeville County",3,2011-CP-01-110,,
630,United States District Court for the Eastern District of Arkansas,3,4:18-cv-00116-KGB,ared,United States District Court for the Eastern District of Arkansas
450,"Superior Court of Georgia, Muscogee County",3,"48573, 48937",,
260,"Court of Appeals of Ohio, Sandusky County",3,S-84-29,,
205,Court of Appeals of Ohio Clark County,3,2010-CA-87,,
217,"Court of Appeals of Ohio, Clermont County",3,CA2006-10-090,,
519,"Superior Court of Rhode Island, Providence County",3,01-4153,,
245,"Court of Appeals of Ohio, Madison County",3,CA200010048,,
424,"Superior Court of Georgia, Chatham County",3,CV10-1090-KA,,
312,"Court of Common Pleas of South Carolina, Aiken County",3,98CP021323,,
651,United States District Court for the Northern District of Mississippi,3,3:09-cv-00104,msnd,"District Court, N.D. Mississippi"
1,"178th District Court of Texas, Harris County",3,"WR-59, 481-04",,
481,"Superior Court of North Carolina, Buncombe County",3,"96CRS54809, 96CRS6111",,
50,"Circuit Court of Florida, Miami-Dade County",3,2013-000394-AP-01,,
231,"Court of Appeals of Ohio, Guernsey County",3,15 CA 19,,
510,"Superior Court of North Carolina, Stanly County",3,91 CRS 2646,,
240,"Court of Appeals of Ohio, Lawrence County",3,19CA13,,
475,"Superior Court of New Jersey, Atlantic County, Chancery Division",3,22-07-1039-I,,
429,"Superior Court of Georgia, Dekalb County",3,21-CV-1415-3,,
56,"Circuit Court of Kentucky, Fayette County",3,91-P-1247,,
224,"Court of Appeals of Ohio, Delaware County",3,04CAA07052,,
323,"Court of Common Pleas of South Carolina, Sumter County",3,97-CP-43-545,,
322,"Court of Common Pleas of South Carolina, Spartanburg County",3,95-CP-42-0014,,
126,"Circuit Court of West Virginia, Lincoln County",3,99-C-86,,
493,"Superior Court of North Carolina, Harnett County",2,"97 CRS 737, 738, 1006, 1",,
425,"Superior Court of Georgia, Chattooga County",2,"2012 CA 38, 376",,
454,"Superior Court of Georgia, Rockdale County",2,2023-CV-1780,,
426,"Superior Court of Georgia, Clayton County",2,2003CR00753-6,,
506,"Superior Court of North Carolina, Richmond County",2,"95CRS4226, 27",,
520,"Superior Court of Washington, Adams County",2,03 2 00149 3,,
465,"Superior Court of Massachusetts, Suffolk County",2,SUCR1976-01539,,
512,"Superior Court of North Carolina, Surry County",2,"90-CRS-3642, 90-CRS-3643",,
402,"Superior Court of Arizona, Yavapai County",2,CR 995 0373,,
467,"Superior Court of New Hampshire, Cheshire County",2,213-2020-CV-00191,,
449,"Superior Court of Georgia, Montgomery County",2,09-CV-266,,
468,"Superior Court of New Hampshire, Coos County",2,03-E-37,,
405,Superior Court of California Ventura County,2,2010021861,,
489,"Superior Court of North Carolina, Davidson County",2,03CRS 1172-1173,,
524,"Supreme Court 3rd Judicial District of New York, Albany County",2,7541-08,,
410,"Superior Court of California, Orange County",2,03 CC 10166,,
446,"Superior Court of Georgia, Madison County",2,04-MV-584-H,,
441,"Superior Court of Georgia, Jackson County",2,98-cr-0036,,
476,"Superior Court of New Jersey, Middlesex County",2,L-9012-07,,
479,"Superior Court of North Carolina, Anson County",2,"86 CrS 4071, 87 CrS 1217",,
471,"Superior Court of New Hampshire, Merrimack County",2,08-E-0035,,
249,"Court of Appeals of Ohio, Mercer County",2,10-09-12,,
558,"Supreme Court of New York, Erie County",2,1998/10118,,
210,"Court of Appeals of Ohio, Auglaize County",2,2-04-26,,
150,"County Court of New York, Genesee County",2,4639,nygenessctyct,Genesee County Court
145,Civil District Court of Orleans Parish,2,2005-11660,,
141,"Circuit Court of West Virginia, Wayne County",2,03-F-079,,
137,"Circuit Court of West Virginia, Preston County",2,04-C-206,,
132,"Circuit Court of West Virginia, Morgan County",2,07-F-73,,
618,United States District Court for the District of Massachusetts,2,02-10428,mad,"District Court, D. Massachusetts"
619,United States District Court for the District of Minnesota,2,0:10-cv-02938,mnd,"District Court, D. Minnesota"
116,"Circuit Court of West Virginia, Braxton County",2,95-F-23,,
561,"Supreme Court of New York, Kings County - Criminal Term",2,IND # 7293/2006,,
113,Circuit Court of West Virginia Putnam County,2,00-F-72,,
110,"Circuit Court of Virginia, City of Richmond",2,LL594,,
623,United States District Court for the District of New Jersey,2,01-2024,njd,"District Court, D. New Jersey"
107,Circuit Court of Virginia Henrico County,2,CH99-01468-00,,
104,"Circuit Court of Tennessee, Davidson County",2,21D-825,,
632,United States District Court for the Eastern District of Louisiana,2,2:06-cv-07185,laed,United States District Court Eastern District of Louisiana
635,United States District Court for the Eastern District of North Carolina,2,2:07-CV-00051-FL-AD-RC,nced,"District Court, E.D. North Carolina"
644,United States District Court for the Middle District of Tennessee,2,06-632,tnmd,"District Court, M.D. Tennessee"
70,"Circuit Court of Maryland, Queen Anne's County",2,4789,,
66,"Circuit Court of Maryland, Frederick County",2,C-10-CV-20-564,,
60,"Circuit Court of Maryland, Allegany County",2,3164-3169,,
654,United States District Court for the Northern District of Texas,2,3:08-CV-2117-P,txnd,"District Court, N.D. Texas"
51,"Circuit Court of Florida, Palm Beach County",2,502003AP001685XXCCAY,,
46,"Circuit Court of Alabama, Mobile County",2,CC-1985-001385.80,,
659,United States District Court for the Southern District of Georgia,2,CV409-130,gasd,United States District Court for the Southern District of Georgia
22,"Appellate Department, Superior Court of California, Santa Barbara County",2,1471799,,
9,"3rd District Court of Texas, Anderson County",2,22753,,
7,"38th Judicial District Court of Louisiana, Cameron Parish",2,10-19582,,
674,United States District Court for the Western District of Wisconsin,2,15-cv-421-bbc,wiwd,"District Court, W.D. Wisconsin"
2,"184th District Court of Texas, Harris County",2,941969,,
158,"County Court of New York, Ulster County",2,051-04,nyulsterctyct,Ulster County Court
115,"Circuit Court of West Virginia, Boone County",2,01-C-124,,
498,"Superior Court of North Carolina, Martin County",2,83-CRS-920-922,,
308,"Court of Common Pleas of Pennsylvania, Butler County",2,A.D. No. 2020-10334,,
360,"District Court of Louisiana, East Baton Rouge Parish",2,"462, 218",,
357,"District Court of Iowa, Scott County",2,NTWG 806359,,
356,"District Court of Iowa, Polk County",2,FECR 182583,,
351,"District Court of Colorado, Saguache County",2,2022CV1,,
365,"District Court of Nebraska, Lancaster County",2,CI 19-3861,,
350,"District Court of Colorado, Pitkin County",2,2015CV30044,,
223,"Court of Appeals of Ohio, Defiance County",2,4-02-01,,
347,"District Court of Colorado, Larimer County",2,01CV878,,
334,"District Court of  Colorado, Broomfield County",2,2003CV68,,
366,"District Court of Nevada, Clark County",2,A435066,,
332,"Criminal District Court No.1 of Dallas County, Texas",2,F-0152159-H,,
319,"Court of Common Pleas of South Carolina, Greenwood County",2,94-CP-24-279,,
316,"Court of Common Pleas of South Carolina, Cherokee County",2,2005-CP-11-667,,
310,"Court of Common Pleas of Pennsylvania, Luzerne County",2,490 of 1984,,
359,"District Court of Louisiana, 4th Judicial District, Ouachita Parish",2,"35, 583",,
230,"Court of Appeals of Ohio, Greene County",2,2011-CA-17,,
274,Court of Appeals of Puerto Rico,2,KLAN202400070,,
272,"Court of Appeals of Ohio, Wood County",2,"WD-19-021, WD-19-022",,
267,"Court of Appeals of Ohio, Union County",2,14-12-09,,
262,"Court of Appeals of Ohio, Seneca County",2,13-02-46,,
233,"Court of Appeals of Ohio, Hancock County",2,05-18-14,,
235,"Court of Appeals of Ohio, Hocking County",2,"11CA29, 11CA32, 12CA2, 12CA11, 12CA12, 12CA19",,
371,"District Court of New Mexico, Otero County",2,A-1-CA-38086,,
242,"Court of Appeals of Ohio, Logan County",2,"8-19-52, 8-19-53",,
257,"Court of Appeals of Ohio, Preble County",2,CA2019-02-002,,
671,United States District Court for the Western District of Oklahoma,1,5:12-cv-00140,okwd,"United States District Court, Oklahoma Western"
564,"Supreme Court of New York, Queens County",1,1395-2002,,
508,"Superior Court of North Carolina, Rutherford County",1,05 CRS 50129,,
655,United States District Court for the Northern District of West Virginia,1,3:01cv75,wvnd,"District Court, N.D. West Virginia"
656,United States District Court for the Southern District of Alabama,1,1:13-cv-00521-CG-C,alsd,United States District Court for the Southern District of Alabama
562,"Supreme Court of New York, Nassau County",1,93053,,
502,"Superior Court of North Carolina, New Hanover County",1,"96-CRS-15621, 96-CRS-15622, 96-CRS-15623",,
501,"Superior Court of North Carolina, Nash County",1,"93 CRS 14709, 14711",,
565,"Supreme Court of New York, Richmond County",1,270/2009,,
505,"Superior Court of North Carolina, Randolph County",1,"92 CRS 8374, 8375",,
660,United States District Court for the Southern District of Illinois,1,3:07-cv-00357,ilsd,"District Court, S.D. Illinois"
503,"Superior Court of North Carolina, Onslow County",1,07CRS55796,,
661,United States District Court for the Southern District of Indiana,1,03-3819,insd,"District Court, S.D. Indiana"
509,"Superior Court of North Carolina, Sampson County",1,94 CRS 7958-7959,,
670,United States District Court for the Western District of New York,1,1:08-CR-382,nywd,"District Court, W.D. New York"
567,"Supreme Court of New York, Washington County",1,57-1-2002-0300,,
594,United States Bankruptcy Appellate Panel for the 10th Circuit,1,No. 24-12,,
653,United States District Court for the Northern District of Oklahoma,1,4:08-cv-00278,oknd,"United States District Court, Oklahoma Northern"
652,United States District Court for the Northern District of Ohio,1,1:15-cv-00947,ohnd,"District Court, N.D. Ohio"
613,United States District Court for the District of Connecticut,1,3:12-cv-1299,ctd,United States District Court for the District of Connecticut
523,"Superior Court of Washington, Okanogan County",1,04-2-00244-5,,
521,"Superior Court of Washington, Clallam County",1,10-2-00364-1,,
615,United States District Court for the District of Idaho,1,3:11-cv-00588,idd,United States District Court for the District of Idaho
616,United States District Court for the District of Maine,1,1:10-cv-330,med,"District Court, D. Maine"
518,"Superior Court of Puerto Rico, Centro Judicial de San Juan",1,SJ2020CV00581,,
620,United States District Court for the District of Nebraska,1,"4:09-cv-3193, 4:07-cr-3005",ned,"United States District Court, Nebraska"
621,United States District Court for the District of Nevada,1,3:06-cv-00545,nvd,"District Court, D. Nevada"
622,United States District Court for the District of New Hampshire,1,1:08-cr-00094,nhd,"District Court, D. New Hampshire"
624,United States District Court for the District of North Dakota,1,1:22-cv-00031-PDW-RRE-DLH,ndd,"District Court, D. North Dakota"
626,United States District Court for the District of South Dakota,1,02-5069,sdd,"District Court, D. South Dakota"
514,"Superior Court of North Carolina, Wilson County",1,17 CVS 01665,,
628,United States District Court for the District of Wyoming,1,14-cv-21-SWS,wyd,"District Court, D. Wyoming"
629,United States District Court for the District of the Virgin Islands,1,09-bk-10002,vid,"District Court, Virgin Islands"
511,"Superior Court of North Carolina, Stokes County",1,03 CRS 052406,,
647,United States District Court for the Northern District of Florida,1,"4:14-cv-107, 4:14-cv-138",flnd,United States District Court for the Northern District of Florida
650,United States District Court for the Northern District of Iowa,1,03-CR-4113,iand,"District Court, N.D. Iowa"
641,United States District Court for the Middle District of Louisiana,1,3:13-cv-00368,lamd,"District Court, M.D. Louisiana"
0,"139th District Court of Texas, Hidalgo County",1,C-0998-12-C,,
497,"Superior Court of North Carolina, Lenoir County",1,"11 CRS 52845, 52816",,
255,"Court of Appeals of Ohio, Pike County",1,02CA684,,
133,"Circuit Court of West Virginia, Nicholas County",1,05-C-195,,
130,"Circuit Court of West Virginia, Mineral County",1,05-C-17,,
128,"Circuit Court of West Virginia, Marshall County",1,03-F-39,,
127,"Circuit Court of West Virginia, Logan County",1,04-C-84,,
121,"Circuit Court of West Virginia, Greenbriar County",1,99-C-154,,
119,"Circuit Court of West Virginia, Calhoun County",1,"06-JA-3, 06-JA-4",,
117,"Circuit Court of West Virginia, Brooke County",1,05-C-85,,
112,Circuit Court of West Virginia Mingo County,1,96-C-235/239/240/241/97-,,
111,"Circuit Court of Virginia, Wise County",1,CH00402,,
109,"Circuit Court of Virginia, City of Newport News",1,00301-TF,,
108,"Circuit Court of Virginia, Arlington County",1,"01-508, 01-814",,
106,Circuit Court of Virginia City of Charlottesville,1,00-229,,
105,"Circuit Court of Tennessee, Maury County",1,E2018-00130-CCA-R28-PD,,
103,"Circuit Court of South Dakota, Yankton County",1,JUV. 07-33/-7-64,,
102,"Circuit Court of Oregon, Washington County",1,D056049M,,
101,"Circuit Court of Oregon, Umatilla County",1,F94-11-1023C,,
100,"Circuit Court of Mississippi, Winston County",1,2001-0189-CV-M,,
99,"Circuit Court of Mississippi, Madison County",1,2009-0203-C,,
98,"Circuit Court of Mississippi, Hinds County",1,251-01-23COV,,
135,"Circuit Court of West Virginia, Pendleton County",1,01-C-14,,
136,"Circuit Court of West Virginia, Pocahontas County",1,03-F-04J,,
142,"Circuit Court of West Virginia, Wetzel County",1,01-C-15,,
160,"County of New York, Broome County",1,2012-0093,,
236,"Court of Appeals of Ohio, Huron County",1,"H-06-007, H-06-008, H-06-009, H-06-010, H-06-011, H-06-012, H-06-013, H-06-014, H-06-015, H-06-016, H-06-017",,
228,"Court of Appeals of Ohio, Gallia County",1,06CA13,,
218,"Court of Appeals of Ohio, Clinton County",1,CA2001-02-008,,
214,"Court of Appeals of Ohio, Carroll County",1,01 AP 758,,
212,"Court of Appeals of Ohio, Brown County",1,CA2009-05-018,,
206,Court of Appeals of Ohio Greene County,1,99 CA 25,,
204,Court of Appeals of North Dakota,1,20000149CA,ndctapp,North Dakota Court of Appeals
193,"Court of Appeals of Michigan, Genesse County",1,01-08404-FH,,
159,"County Court of New York, Westchester County",1,87-1520,nywestchcty,Westchester County Court
147,"County Court at Law 2, Montgomery County, Texas",1,"15-28977, 15-28978",,
157,"County Court of New York, Sullivan County",1,2066/06,nysullivanctyct,Sullivan County Court
156,"County Court of New York, St. Lawrence County",1,Ind. No. 2015-0123,nystlawctyct,St. Lawrence County Court
155,"County Court of New York, Oswego County",1,01C-228,nyoswegoctyct,Oswego County Court
154,"County Court of New York, Orange County",1,1989-545,nyorangectyct,Orange County Court
153,"County Court of New York, Niagara County",1,2010-010,nyniagaractyct,Niagara County Court
152,"County Court of New York, Nassau County",1,Motion No. C-72,nynassctyct,Nassau County Court
151,"County Court of New York, Livingston County",1,2004-027,nylivingstctyct,Livingston County Court
148,"County Court at Law No. 2, Collin County, Texas",1,0058775209,,
94,"Circuit Court of Michigan, Van Buren County",1,03-13658B,,
93,"Circuit Court of Michigan, Tuscola County",1,90-5754-FC,,
92,"Circuit Court of Michigan, St. Joseph County",1,01-10436,,
24,"Appellate Division, Superior Court of California, Marin County",1,CV-022654,,
45,"Circuit Court of Alabama, Jefferson County",1,98-4984,,
44,"Chancery Court of Tennessee, 30th Judicial District",1,09-1309-3,,
43,Arizona Court of Appeals,1,"1 CA-CR 21-0512, 1 CA-CR 21-0541, 1 CA-CR 22-0061, 1 CA-CR 22-0071",arizctapp,Arizona Court of Appeals
40,"Appellate Term of the Supreme Court of New York, 1st & 12th Jud. Dist.",1,05-022,nyappterm,Appellate Terms of the Supreme Court of New York
33,"Appellate Division, Superior Court of California, Yolo County",1,AP00-14,,
32,"Appellate Division, Superior Court of California, Santa Cruz County",1,AP001164,,
31,"Appellate Division, Superior Court of California, Santa Clara County",1,1-15-AP-001874,,
25,"Appellate Division, Superior Court of California, Modoc County",1,"APM00011, APM00012, APM00013",,
21,"Appellate Department, Superior Court of California, El Dorado County",1,PO3CRM1409,,
48,"Circuit Court of Florida, Citrus County",1,2008-CA-007192,,
20,"Appellate Department, Superior Court of California, Alameda County",1,4150,,
11,"9th Circuit Court of New Hampshire, District Division-Nashua",1,459-2022-LT-00671,,
10,"46th District Court of Michigan, Oakland County",1,98-M-351734A,,
8,"39th Judicial District Court of Louisiana, Red River Parish",1,"101, 994",,
6,"29th Judicial District Court of Louisiana, Parish of St. Charles",1,74-033,,
5,28th Judicial District Court of Michigan,1,04-1832SD,,
4,"272nd District Court of Texas, Brazos County",1,11-06185-CRF-272-A,,
3,"221st Judicial District Court of Texas, Montgomery County",1,95-08-008877-CR,,
47,Circuit Court of Florida Brevard County,1,05-2012-55504,,
49,"Circuit Court of Florida, Dade County",1,"0882DOG, 6319DRT, 6833DOF, 9643DNN, 9782DOP",,
91,"Circuit Court of Michigan, Shiawassee County",1,00-5900-AR,,
72,"Circuit Court of Michigan, Antrim County",1,02-3572-FC,,
89,"Circuit Court of Michigan, Ottawa County",1,95-18651-FC,,
85,"Circuit Court of Michigan, Livingston County",1,92-7032-FC,,
84,"Circuit Court of Michigan, Lapeer County",1,01-007330-FHH,,
80,"Circuit Court of Michigan, Isabella County",1,03-1555-FC,,
78,"Circuit Court of Michigan, Huron County",1,10-004535-AE-K,,
76,"Circuit Court of Michigan, Eaton County",1,96-408-FH,,
75,"Circuit Court of Michigan, Cass County",1,91-7303-FC,,
73,"Circuit Court of Michigan, Benzie County",1,05-001955-FC,,
71,"Circuit Court of Maryland, Wicomico County",1,22-C-13-001080,,
52,"Circuit Court of Florida, Pinellas County",1,07-009926-CI-007,,
65,"Circuit Court of Maryland, Charles County",1,K13-239,,
64,"Circuit Court of Maryland, Calvert County",1,C-04-CV-19-000432,,
59,"Circuit Court of Kentucky, Trimble County",1,"18-XX-00001, 18-XX-00002",,
58,"Circuit Court of Kentucky, Knott County",1,10-XX-00001,,
57,"Circuit Court of Kentucky, Hopkins County",1,02-XX-00010,,
55,"Circuit Court of Florida, Sumter County",1,1988-CF-000636,,
54,"Circuit Court of Florida, St. Johns County",1,04001748CF,,
53,"Circuit Court of Florida, Sarasota County",1,2002-CA-8117,,
253,"Court of Appeals of Ohio, Perry County",1,12-CA-1,,
268,"Court of Appeals of Ohio, Vinton County",1,07CA663,,
495,"Superior Court of North Carolina, Henderson County",1,"04 CRS 56340, 04 CRS 56668",,
307,"Court of Common Pleas of Pennsylvania, Allegheny County",1,CP-02-MD-4931-2013,,
440,"Superior Court of Georgia, Henry County",1,01-CV-0651-M,,
438,"Superior Court of Georgia, Hall County",1,2016CV982A,,
435,"Superior Court of Georgia, Glynn County",1,CE19-00763,,
433,"Superior Court of Georgia, Floyd County",1,83CR21295-3,,
432,"Superior Court of Georgia, Douglas County",1,"CR 15, 126",,
431,"Superior Court of Georgia, Dooly County",1,09DV-0061,,
430,"Superior Court of Georgia, Dodge County",1,08-HC-275,,
428,"Superior Court of Georgia, Coffee County",1,2004-S05-0421,,
419,"Superior Court of Georgia, Athens-Clarke County",1,SU01CR0050-SW,,
418,Superior Court of Georgia Richmond County,1,2002-RCD-472,,
416,Superior Court of Delaware,1,9507001267,delsuperct,Superior Court of Delaware
415,"Superior Court of Connecticut, Hartford-New Britain",1,CV 06-4021640,,
414,"Superior Court of California, Sonoma County",1,MCV-191306,,
413,"Superior Court of California, Solano County",1,FCS029178,,
412,"Superior Court of California, San Joaquin County, Appellate Department",1,ST65170A,,
411,"Superior Court of California, Sacramento County",1,09UD12194,,
409,"Superior Court of California, Los Angeles County",1,23APIN00010,,
408,"Superior Court of California, County of San Joaquin, Appellate Division",1,CV-LUDRF-2018-11459,,
407,"Superior Court of California, County of Mateo, Appellate Division",1,21-AD-000009,,
442,"Superior Court of Georgia, Jenkins County",1,1J13CV071P,,
443,"Superior Court of Georgia, Johnson County",1,2010-HC-22,,
444,"Superior Court of Georgia, Lowndes County",1,2006-CV-1668,,
477,"Superior Court of New Jersey, Ocean County, Chancery Division",1,FM-15-1494-17,,
494,"Superior Court of North Carolina, Haywood County",1,89 CRS 2144,,
487,"Superior Court of North Carolina, Craven County",1,98 CRS 3472,,
486,"Superior Court of North Carolina, Columbus County",1,23CV000553,,
485,"Superior Court of North Carolina, Cleveland County",1,98-CRS-9636-9637,,
484,"Superior Court of North Carolina, Chatham County",1,04 CRS 51187,,
482,"Superior Court of North Carolina, Cabarrus County",1,"00CRS4055-57, 5715",,
480,"Superior Court of North Carolina, Bladen County",1,84CR52567-69,,
478,"Superior Court of North Carolina, Alamance County",1,"88 CRS 2342, 2343, 2638, 4178",,
469,"Superior Court of New Hampshire, Hillsborough County, Northern District",1,99-S-1335,,
448,"Superior Court of Georgia, Monroe County",1,2005-CV-857,,
466,Superior Court of New Hampshire Hillsborough County,1,01-C-20,,
463,"Superior Court of Massachusetts, Essex County",1,2009-01296,,
462,"Superior Court of Massachusetts, Bristol County",1,BRCR2003-00813-1,,
461,"Superior Court of Georgia, Wilcox County",1,2010CV082,,
460,"Superior Court of Georgia, Wayne County",1,00-CV-0335,,
457,"Superior Court of Georgia, Troup County",1,06-R-380,,
452,"Superior Court of Georgia, Pulaski County",1,2000V-8888,,
451,"Superior Court of Georgia, Oconee County",1,96-CR-0001,,
406,"Superior Court of California, Contra Costa County",1,5-151168-2,,
404,Superior Court of California San Francisco County,1,CPF-10-510561,,
403,"Superior Court of Arizona, Yuma County",1,S1400CR9218454,,
346,"District Court of Colorado, Jefferson County",1,22CV30495,,
363,"District Court of Louisiana, Livingston Parish",1,01-FELN-015992,,
362,"District Court of Louisiana, Lafayette Parish",1,50486,,
361,"District Court of Louisiana, Iberia Parish",1,91413-D,,
355,"District Court of Iowa, Jasper County",1,LACV110419,,
354,"District Court of Iowa, Fremont County",1,SMMG030661,,
352,"District Court of Colorado, Teller County",1,02 CV 262,,
349,"District Court of Colorado, Ouray County",1,2017CV2,,
348,"District Court of Colorado, Lincoln County",1,01CV63,,
345,"District Court of Colorado, El Paso County",1,2023CV19,,
367,"District Court of Nevada, Elko County",1,CR-AP-12-4755,,
341,District Court of Colorado Elbert County,1,2024CV2,,
333,"DIstrict Court of Iowa, North Lee County",1,PCLA 006654,,
331,"Criminal Court of the City of New York, Queens County",1,2004QN043051,nycrimctqueens,"The Criminal Court of the City of New York, Queens"
317,"Court of Common Pleas of South Carolina, Georgetown County",1,99-CP-22-268,,
315,"Court of Common Pleas of South Carolina, Charleston County",1,2007-CP-10-3878,,
314,"Court of Common Pleas of South Carolina, Calhoun County",1,09-CP-09-164,,
313,"Court of Common Pleas of South Carolina, Berkeley County",1,2008-CP-08-2561,,
309,"Court of Common Pleas of Pennsylvania, Delaware County",1,CP-23-CR-0004909-2021,,
364,"District Court of Louisiana, St. Tammany Parish",1,194255,,
369,"District Court of New Mexico, Dona Ana County",1,CR-2004-50,,
397,"Superior Court of Arizona, Coconino County",1,CR 2007-0429,,
383,"District Court of Wyoming, Teton County",1,2247,,
396,"Superior Court of Alaska, 4th Judicial District",1,087506,,
395,"Superior Court of Alaska, 3rd Judicial District",1,3AN-24-06057CI,,
393,New York Supreme Court Dutchess County,1,3266/2001,,
392,Merrimack County Probate Court of New Hampshire,1,2001-C136,,
391,"Juvenile Court of Georgia, Douglas County",1,J060510,,
390,"Judicial Branch of New Hampshire, Family Division of Lebanon",1,2000-M-0193,,
387,"Fifth Judicial District Court of Louisiana, Franklin Parish",1,C-40232,,
384,"District Court of Wyoming, Uinta County",1,CR-05-35,,
381,"District Court of Wyoming, Platte County",1,2009-027,,
370,"District Court of New Mexico, Eddy County",1,D-503-CR-2006-120,,
380,"District Court of Wyoming, Laramie County",1,19-373,,
379,"District Court of Wyoming, Hot Springs County",1,05-11,,
378,District Court of Wyoming Campbell County,1,4944,,
377,"District Court of Utah, Cache County",1,"031100633, 031101017",,
376,"District Court of North Carolina, Perquimans County",1,05-CVD-205,,
374,"District Court of New Mexico, Socorro County",1,0725-CR-94-09,,
373,"District Court of New Mexico, San Juan County",1,D-1116-CR-2007-00475,,
372,"District Court of New Mexico, Rio Arriba County",1,D-117-cr-2016-00020,,
676,United States Foreign Intelligence Surveillance Court of Review,1,Misc. 20-02,fiscr,United States Foreign Intelligence Surveillance Court of Review
