filename,citing_cluster_id,citing_decision_name,citing_url,citing_opinions,citing_filenames,cited_cluster_id,cited_decision_name,cited_url,cited_name_short,cited_name,cited_name_full,cited_citations,overruled,note,use_full_opinion
0001.91306_cites_88061.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],88061,Texas v. White (1869),https://www.courtlistener.com/opinion/88061/texas-v-white/,White,Texas v. White,Texas v. White Et Al.,"['74 U.S. 700', '19 L. Ed. 227', '7 Wall. 700', '1868 U.S. LEXIS 1056']",yes,,0
0002.91306_cites_88994.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],88994,Vermilye & Co. v. Adams Express Co. (1875),https://www.courtlistener.com/opinion/88994/vermilye-co-v-adams-express-co/,,Vermilye & Co. v. Adams Express Co.,Vermilye & Co. v. Adams Express Company,"['88 U.S. 138', '22 L. Ed. 609', '21 Wall. 138', '1874 U.S. LEXIS 1350']",no,,0
0003.91306_cites_87633.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],87633,Murray v. Lardner (1865),https://www.courtlistener.com/opinion/87633/murray-v-lardner/,Murray,Murray v. Lardner,Murray v. Lardner,"['69 U.S. 110', '17 L. Ed. 857', '2 Wall. 110', '1864 U.S. LEXIS 414']",no,,0
0004.91306_cites_88240.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],88240,Texas v. Hardenberg (1869),https://www.courtlistener.com/opinion/88240/texas-v-hardenberg/,Hardenberg,Texas v. Hardenberg,Texas v. Hardenberg,"['77 U.S. 68', '19 L. Ed. 839', '10 Wall. 68', '1869 U.S. LEXIS 1046']",no,,0
0005.91306_cites_88693.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],88693,Huntington v. Texas (1873),https://www.courtlistener.com/opinion/88693/huntington-v-texas/,Huntington,Huntington v. Texas,Huntington v. Texas; Texas v. Huntington,"['83 U.S. 402', '21 L. Ed. 316', '16 Wall. 402', '1872 U.S. LEXIS 1171']",no,,0
0006.91306_cites_88924.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],88924,National Bank of Washington v. Texas (1874),https://www.courtlistener.com/opinion/88924/national-bank-of-washington-v-texas/,,National Bank of Washington v. Texas,National Bank of Washington v. Texas,"['87 U.S. 72', '22 L. Ed. 295', '20 Wall. 72', '1873 U.S. LEXIS 1489']",no,,0
0007.91306_cites_89668.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],89668,Cromwell v. County of Sac (1878),https://www.courtlistener.com/opinion/89668/cromwell-v-county-of-sac/,Cromwell,Cromwell v. County of Sac,Cromwell v. County of Sac; County of Sac v. Cromwell,"['96 U.S. 51', '24 L. Ed. 681', '1877 U.S. LEXIS 1625']",no,,0
0008.91306_cites_90400.txt,91306,"Morgan v. United States,113 U.S. 476  (1885)",https://www.courtlistener.com/opinion/91306/morgan-v-united-states/,"[{'opinion_id': 91306, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/91306/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '91306_010combined.txt'}]",['91306_010combined.txt'],90400,Railroad Co. v. Sprague (1881),https://www.courtlistener.com/opinion/90400/railroad-co-v-sprague/,Sprague,Railroad Co. v. Sprague,Railway Company v. Sprague,"['103 U.S. 756', '26 L. Ed. 554', '1880 U.S. LEXIS 2194']",no,,0
0009.92059_cites_91368.txt,92059,"In re Ayers,123 U.S. 443  (1887)",https://www.courtlistener.com/opinion/92059/in-re-ayers/,"[{'opinion_id': 9417465, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/9417465/', 'opinion_type': '020lead', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_020lead.txt'}, {'opinion_id': 9417466, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/9417466/', 'opinion_type': '030concurrence', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_030concurrence.txt'}, {'opinion_id': 9417467, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/9417467/', 'opinion_type': '040dissent', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_040dissent.txt'}, {'opinion_id': 92059, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/92059/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_010combined.txt'}]","['92059_020lead.txt', '92059_030concurrence.txt', '92059_040dissent.txt', '92059_010combined.txt']",91368,Poindexter v. Greenhow (1885),https://www.courtlistener.com/opinion/91368/poindexter-v-greenhow/,Poindexter,Poindexter v. Greenhow,"POINDEXTER v. GREENHOW, Treasurer","['114 U.S. 270', '5 S. Ct. 903', '29 L. Ed. 185', '1885 U.S. LEXIS 1759']",no,,0
0010.92059_cites_91371.txt,92059,"In re Ayers,123 U.S. 443  (1887)",https://www.courtlistener.com/opinion/92059/in-re-ayers/,"[{'opinion_id': 9417465, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/9417465/', 'opinion_type': '020lead', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_020lead.txt'}, {'opinion_id': 9417466, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/9417466/', 'opinion_type': '030concurrence', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_030concurrence.txt'}, {'opinion_id': 9417467, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/9417467/', 'opinion_type': '040dissent', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_040dissent.txt'}, {'opinion_id': 92059, 'opinion_api': 'https://www.courtlistener.com/api/rest/v4/opinions/92059/', 'opinion_type': '010combined', 'opinion_source': 'html_with_citations', 'opinion_filename': '92059_010combined.txt'}]","['92059_020lead.txt', '92059_030concurrence.txt', '92059_040dissent.txt', '92059_010combined.txt']",91371,Allen v. Baltimore & Ohio Railroad (1885),https://www.courtlistener.com/opinion/91371/allen-v-baltimore-ohio-railroad/,Allen,Allen v. Baltimore & Ohio Railroad,"ALLEN, Auditor, & Another v. BALTIMORE & OHIO RAILROAD COMPANY","['114 U.S. 311', '5 S. Ct. 925', '29 L. Ed. 200', '1885 U.S. LEXIS 1762']",no,,0
