filename,citing_opinion_id,citing_index,court,docket_id,cluster_id,citing_decision_name,cited_opinion_id,cited_index,depth,cited_decision_name,overruled,notes
0001.91306_cites_88061.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",88061,0,3,Texas v. White (1869),yes,
0002.91306_cites_88994.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",88994,1,2,Vermilye & Co. v. Adams Express Co. (1875),no,
0003.91306_cites_87633.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",87633,2,1,Murray v. Lardner (1865),no,
0004.91306_cites_88240.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",88240,3,1,Texas v. Hardenberg (1869),no,
0005.91306_cites_88693.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",88693,4,1,Huntington v. Texas (1873),no,
0006.91306_cites_88924.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",88924,5,1,National Bank of Washington v. Texas (1874),no,
0007.91306_cites_89668.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",89668,6,1,Cromwell v. County of Sac (1878),no,
0008.91306_cites_90400.txt,91306,0,scotus,2297559,91306,"Morgan v. United States,113 U.S. 476  (1885)",90400,7,1,Railroad Co. v. Sprague (1881),no,
0009.92059_cites_91368.txt,92059,1,scotus,96842,92059,"In re Ayers,123 U.S. 443  (1887)",91368,0,4,Poindexter v. Greenhow (1885),no,
0010.92059_cites_91371.txt,92059,1,scotus,96842,92059,"In re Ayers,123 U.S. 443  (1887)",91371,1,3,Allen v. Baltimore & Ohio Railroad (1885),no,
0011.92059_cites_88673.txt,92059,1,scotus,96842,92059,"In re Ayers,123 U.S. 443  (1887)",88673,2,2,Davis v. Gray (1873),no,
0012.92059_cites_87371.txt,92059,1,scotus,96842,92059,"In re Ayers,123 U.S. 443  (1887)",87371,3,2,"Commonwealth of Ky. v. DENNISON, GOVERNOR, &C. (1861)",no,
0013.92059_cites_91583.txt,92059,1,scotus,96842,92059,"In re Ayers,123 U.S. 443  (1887)",91583,4,2,Hagood v. Southern (1886),no,
0014.92059_cites_90667.txt,92059,1,scotus,96842,92059,"In re Ayers,123 U.S. 443  (1887)",90667,5,2,United States v. Lee (1882),no,
0016.92291_cites_88699.txt,92291,2,scotus,2449371,92291,"Leloup v. Port of Mobile,127 U.S. 640  (1888)",88699,0,2,Osborne v. Mobile (1873),yes,
0017.92291_cites_89664.txt,92291,2,scotus,2449371,92291,"Leloup v. Port of Mobile,127 U.S. 640  (1888)",89664,1,2,Pensacola Telegraph Co. v. Western Union Telegraph Co. (1878),no,
0018.92291_cites_90600.txt,92291,2,scotus,2449371,92291,"Leloup v. Port of Mobile,127 U.S. 640  (1888)",90600,2,2,Telegraph Co. v. Texas (1882),no,
0019.92291_cites_91869.txt,92291,2,scotus,2449371,92291,"Leloup v. Port of Mobile,127 U.S. 640  (1888)",91869,3,2,Robbins v. Shelby County Taxing District (1887),no,
0020.92291_cites_91985.txt,92291,2,scotus,2449371,92291,"Leloup v. Port of Mobile,127 U.S. 640  (1888)",91985,4,2,Philadelphia & Southern Steamship Co. v. Pennsylvania (1887),no,
0021.93311_cites_92988.txt,93311,3,scotus,2397685,93311,"Brenham v. German American Bank,144 U.S. 173  (1892)",92988,0,4,Merrill v. Monticello (1891),no,
0022.93311_cites_87743.txt,93311,3,scotus,2397685,93311,"Brenham v. German American Bank,144 U.S. 173  (1892)",87743,1,4,Rogers v. Burlington (1866),yes,
0023.93311_cites_91125.txt,93311,3,scotus,2397685,93311,"Brenham v. German American Bank,144 U.S. 173  (1892)",91125,2,4,Claiborne County v. Brooks (1884),no,
0024.93311_cites_87776.txt,93311,3,scotus,2397685,93311,"Brenham v. German American Bank,144 U.S. 173  (1892)",87776,3,3,Mitchell v. Burlington (1867),yes,
0025.93311_cites_88640.txt,93311,3,scotus,2397685,93311,"Brenham v. German American Bank,144 U.S. 173  (1892)",88640,4,3,Police Jury v. Britton (1873),no,
0026.93904_cites_93354.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",93354,0,1,Roberts v. Lewis (1892),no,
0027.93904_cites_87423.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",87423,1,1,Suydam v. Williamson (1861),no,
0028.93904_cites_84798.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",84798,2,1,Lambert's Lessee v. Payne (1805),no,
0029.93904_cites_89382.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",89382,3,1,Brant v. Virginia Coal & Iron Co. (1876),no,
0030.93904_cites_90983.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",90983,4,1,Howard v. Carusi (1884),no,
0031.93904_cites_93152.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",93152,5,1,Potter v. Couch (1891),no,
0032.93904_cites_90455.txt,93904,4,scotus,229746,93904,"Roberts v. Lewis,153 U.S. 367  (1894)",90455,6,1,Giles v. Little (1881),yes,
0033.98124_cites_96356.txt,98124,5,scotus,428794,98124,"Garland v. Washington,232 U.S. 642  (1914)",96356,0,1,Rogers v. Peck (1905),no,
0034.98124_cites_94455.txt,98124,5,scotus,428794,98124,"Garland v. Washington,232 U.S. 642  (1914)",94455,1,1,Crain v. United States (1896),yes,
0035.98917_cites_97893.txt,98917,6,scotus,2556141,98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)",97893,0,4,Bauer & Cie v. O'Donnell (1913),no,
0036.98917_cites_97584.txt,98917,6,scotus,2556141,98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)",97584,1,4,Henry v. A. B. Dick Co. (1912),yes,
0037.98917_cites_96878.txt,98917,6,scotus,2556141,98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)",96878,2,2,Continental Paper Bag Co. v. Eastern Paper Bag Co. (1908),no,
0038.98917_cites_93828.txt,98917,6,scotus,2556141,98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)",93828,3,1,Dunlap v. Schofield (1894),no,
0039.98917_cites_94177.txt,98917,6,scotus,2556141,98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)",94177,4,1,Keeler v. Standard Folding Bed Co. (1895),no,
0040.98917_cites_89595.txt,98917,6,scotus,2556141,98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)",89595,5,1,Keystone Bridge Co. v. Phoenix Iron Co. (1877),no,
